id,data,categoria,descricao,valor,forma_pagamento
80,2023-01-29,Saúde,Plano de saúde,130.76,Pix
81,2023-01-29,Moradia,Internet,1793.09,Pix
82,2023-01-30,Alimentação,Restaurante,194.41,Cartão de crédito
83,2023-01-30,Lazer,Streaming,51.17,Cartão de débito
84,2023-01-30,Alimentação,Lanchonete,188.4,Boleto
85,2023-01-31,Transporte,Manutenção do veículo,80.13,Cartão de crédito
86,2023-01-31,Outros,Doação,237.79,Cartão de débito
87,2023-01-31,Saúde,Farmácia,419.27,Cartão de crédito
88,2023-02-01,Transporte,Estacionamento,127.89,Pix
89,2023-02-01,Serviços,Lavanderia,411.71,Cartão de crédito
90,2023-02-02,Vestuário,Roupas,186.45,Cartão de débito
91,2023-02-02,Transporte,Aplicativo de transporte,36.5,Dinheiro
92,2023-02-02,Alimentação,Supermercado,114.5,Cartão de crédito
93,2023-02-02,Outros,Presente,221.23,Dinheiro
94,2023-02-03,Transporte,Aplicativo de transporte,99.08,Dinheiro
95,2023-02-03,Alimentação,Lanchonete,150.18,Cartão de débito
96,2023-02-04,Transporte,Combustível,60.78,Cartão de crédito
97,2023-02-04,Transporte,Estacionamento,19.02,Dinheiro
98,2023-02-05,Outros,Doação,152.98,Pix
99,2023-02-05,Alimentação,Lanchonete,40.57,Pix
100,2023-02-06,Saúde,Exames,779.01,Cartão de débito
101,2023-02-06,Saúde,Farmácia,25.14,Boleto
102,2023-02-07,Alimentação,Lanchonete,212.9,Cartão de crédito
103,2023-02-07,Vestuário,Acessórios,170.22,Boleto
104,2023-02-07,Transporte,Pedágio,64.1,Cartão de crédito
105,2023-02-07,Saúde,Consulta médica,346.74,Boleto
106,2023-02-08,Alimentação,Supermercado,185.5,Cartão de crédito
107,2023-02-08,Lazer,Viagem,298.86,Boleto
108,2023-02-08,Lazer,Viagem,293.57,Boleto
109,2023-02-08,Saúde,Farmácia,606.53,Boleto
110,2023-02-08,Educação,Material escolar,282.46,Dinheiro
111,2023-02-08,Alimentação,Restaurante,38.51,Pix
112,2023-02-09,Alimentação,Feira,83.27,Boleto
113,2023-02-09,Outros,Doação,39.87,Cartão de débito
114,2023-02-11,Lazer,Bar,68.43,Dinheiro
115,2023-02-11,Alimentação,Supermercado,114.97,Pix
116,2023-02-11,Alimentação,Lanchonete,150.39,Cartão de débito
117,2023-02-12,Moradia,Gás,1796.81,Cartão de débito
118,2023-02-12,Vestuário,Roupas,41.07,Boleto
119,2023-02-12,Saúde,Farmácia,162.81,Cartão de débito
120,2023-02-12,Alimentação,Padaria,110.25,Pix
121,2023-02-12,Alimentação,Supermercado,122.08,Dinheiro
122,2023-02-13,Moradia,Aluguel,1054.68,Pix
123,2023-02-13,Transporte,Pedágio,162.72,Boleto
124,2023-02-13,Vestuário,Acessórios,147.78,Pix
125,2023-02-13,Moradia,Gás,2030.3,Cartão de débito
126,2023-02-14,Lazer,Jogos,292.17,Boleto
127,2023-02-14,Serviços,Lavanderia,450.7,Pix
128,2023-02-14,Alimentação,Padaria,25.75,Cartão de débito
129,2023-02-14,Alimentação,Supermercado,151.86,Cartão de crédito
130,2023-02-14,Educação,Material escolar,905.32,Boleto
131,2023-02-15,Lazer,Bar,15.52,Cartão de débito
132,2023-02-15,Moradia,Gás,235.17,Dinheiro
133,2023-02-16,Saúde,Exames,446.29,Cartão de crédito
134,2023-02-16,Moradia,Energia elétrica,2059.76,Dinheiro
135,2023-02-16,Outros,Doação,24.59,Dinheiro
136,2023-02-16,Saúde,Consulta médica,265.77,Pix
137,2023-02-17,Alimentação,Feira,175.7,Cartão de crédito
138,2023-02-17,Moradia,Condomínio,891.92,Cartão de débito
139,2023-02-17,Alimentação,Supermercado,149.27,Boleto
140,2023-02-18,Serviços,Salão de beleza,179.32,Pix
141,2023-02-18,Transporte,Estacionamento,78.51,Pix
142,2023-02-19,Alimentação,Delivery,116.45,Dinheiro
143,2023-02-19,Educação,Mensalidade curso,634.75,Cartão de crédito
144,2023-02-19,Transporte,Combustível,170.11,Pix
145,2023-02-20,Alimentação,Restaurante,218.72,Pix
146,2023-02-21,Educação,Livros,523.25,Cartão de crédito
147,2023-02-22,Outros,Diversos,154.1,Cartão de crédito
148,2023-02-23,Moradia,Gás,727.68,Cartão de débito
149,2023-02-23,Educação,Livros,168.79,Cartão de débito
150,2023-02-23,Educação,Mensalidade curso,351.35,Dinheiro
151,2023-02-24,Transporte,Ônibus,78.41,Cartão de crédito
152,2023-02-24,Alimentação,Restaurante,26.19,Cartão de crédito
153,2023-02-25,Serviços,Assinatura de app,92.37,Pix
154,2023-02-25,Alimentação,Supermercado,66.64,Boleto
155,2023-02-25,Transporte,Aplicativo de transporte,113.68,Pix
156,2023-02-25,Alimentação,Feira,85.77,Boleto
157,2023-02-25,Vestuário,Roupas,282.19,Pix
158,2023-02-25,Alimentação,Lanchonete,199.84,Pix
159,2023-02-26,Alimentação,Restaurante,76.79,Cartão de débito
160,2023-02-26,Educação,Livros,217.59,Pix
161,2023-02-26,Serviços,Manutenção doméstica,60.29,Cartão de crédito
162,2023-02-27,Transporte,Estacionamento,17.98,Dinheiro
163,2023-02-27,Transporte,Manutenção do veículo,73.67,Dinheiro
164,2023-02-27,Moradia,Água,1128.75,Boleto
165,2023-02-27,Educação,Material escolar,265.33,Boleto
166,2023-03-01,Alimentação,Delivery,164.59,Boleto
167,2023-03-03,Educação,Plataforma online,646.75,Dinheiro
168,2023-03-03,Outros,Diversos,44.17,Cartão de crédito
169,2023-03-03,Transporte,Estacionamento,24.44,Dinheiro
170,2023-03-04,Moradia,Aluguel,799.32,Cartão de débito
171,2023-03-04,Saúde,Plano de saúde,373.15,Boleto
172,2023-03-04,Moradia,Gás,158.64,Cartão de débito
173,2023-03-04,Transporte,Pedágio,172.16,Boleto
174,2023-03-05,Alimentação,Padaria,101.13,Cartão de crédito
175,2023-03-05,Lazer,Bar,173.2,Pix
176,2023-03-05,Vestuário,Roupas,382.13,Boleto
177,2023-03-05,Alimentação,Supermercado,157.78,Cartão de crédito
178,2023-03-05,Outros,Imprevisto,96.76,Dinheiro
179,2023-03-06,Alimentação,Padaria,200.56,Boleto
180,2023-03-06,Educação,Plataforma online,530.45,Cartão de débito
181,2023-03-07,Transporte,Aplicativo de transporte,107.95,Boleto
182,2023-03-07,Moradia,Água,781.47,Dinheiro
183,2023-03-07,Transporte,Ônibus,53.38,Pix
184,2023-03-07,Transporte,Estacionamento,118.45,Cartão de crédito
185,2023-03-07,Vestuário,Roupas,265.89,Boleto
186,2023-03-08,Moradia,Gás,237.05,Cartão de crédito
187,2023-03-08,Alimentação,Restaurante,147.43,Cartão de crédito
188,2023-03-08,Transporte,Pedágio,28.55,Pix
189,2023-03-08,Transporte,Aplicativo de transporte,39.84,Boleto
190,2023-03-09,Alimentação,Feira,210.71,Boleto
191,2023-03-10,Alimentação,Feira,32.5,Cartão de crédito
192,2023-03-11,Serviços,Salão de beleza,432.62,Boleto
193,2023-03-11,Moradia,Energia elétrica,1418.54,Boleto
194,2023-03-11,Saúde,Farmácia,807.6,Cartão de débito
195,2023-03-11,Transporte,Combustível,68.58,Cartão de crédito
196,2023-03-12,Saúde,Exames,306.52,Dinheiro
197,2023-03-12,Vestuário,Acessórios,246.14,Cartão de débito
198,2023-03-12,Saúde,Consulta médica,31.99,Dinheiro
199,2023-03-13,Outros,Imprevisto,76.99,Boleto
200,2023-03-13,Alimentação,Supermercado,144.8,Cartão de crédito
201,2023-03-13,Serviços,Lavanderia,172.54,Pix
202,2023-03-13,Moradia,Aluguel,861.54,Cartão de débito
203,2023-03-13,Lazer,Viagem,142.44,Pix
204,2023-03-17,Serviços,Assinatura de app,174.61,Cartão de crédito
205,2023-03-20,Saúde,Consulta médica,256.67,Cartão de débito
206,2023-03-20,Educação,Mensalidade curso,147.7,Cartão de crédito
207,2023-03-21,Saúde,Farmácia,123.51,Cartão de débito
208,2023-03-21,Transporte,Aplicativo de transporte,176.92,Cartão de crédito
209,2023-03-22,Moradia,Gás,687.43,Cartão de débito
210,2023-03-22,Vestuário,Calçados,389.53,Pix
211,2023-03-22,Outros,Imprevisto,191.38,Boleto
212,2023-03-23,Moradia,Energia elétrica,1434.5,Boleto
213,2023-03-23,Educação,Material escolar,45.98,Boleto
214,2023-03-23,Alimentação,Lanchonete,91.78,Cartão de débito
215,2023-03-24,Lazer,Bar,216.85,Cartão de débito
216,2023-03-25,Moradia,Aluguel,1667.93,Pix
217,2023-03-25,Transporte,Estacionamento,169.34,Cartão de crédito
218,2023-03-26,Lazer,Bar,39.07,Cartão de débito
219,2023-03-26,Moradia,Internet,1660.07,Dinheiro
220,2023-03-27,Moradia,Energia elétrica,1573.28,Boleto
221,2023-03-28,Serviços,Salão de beleza,94.68,Cartão de crédito
222,2023-03-28,Lazer,Streaming,185.66,Boleto
223,2023-03-28,Educação,Livros,325.0,Pix
224,2023-03-28,Outros,Doação,152.93,Dinheiro
225,2023-03-28,Serviços,Manutenção doméstica,51.44,Cartão de crédito
226,2023-03-28,Transporte,Aplicativo de transporte,75.29,Dinheiro
227,2023-03-28,Vestuário,Calçados,266.67,Boleto
228,2023-03-28,Saúde,Exames,766.27,Cartão de crédito
229,2023-03-29,Saúde,Dentista,341.87,Boleto
230,2023-03-30,Transporte,Estacionamento,83.89,Boleto
231,2023-03-30,Saúde,Consulta médica,31.57,Pix
232,2023-03-30,Transporte,Estacionamento,167.17,Dinheiro
233,2023-03-31,Vestuário,Calçados,407.35,Pix
234,2023-03-31,Moradia,Condomínio,2187.19,Cartão de débito
235,2023-03-31,Moradia,Gás,1539.95,Pix
236,2023-03-31,Transporte,Combustível,160.61,Boleto
237,2023-03-31,Alimentação,Delivery,197.0,Dinheiro
238,2023-04-01,Alimentação,Supermercado,60.46,Boleto
239,2023-04-02,Alimentação,Lanchonete,99.78,Pix
240,2023-04-02,Saúde,Dentista,529.48,Dinheiro
241,2023-04-02,Transporte,Aplicativo de transporte,97.82,Pix
242,2023-04-02,Alimentação,Feira,57.69,Dinheiro
243,2023-04-03,Moradia,Gás,288.7,Cartão de crédito
244,2023-04-03,Lazer,Jogos,37.89,Cartão de crédito
245,2023-04-03,Transporte,Pedágio,126.05,Cartão de débito
246,2023-04-03,Transporte,Ônibus,26.4,Pix
247,2023-04-03,Vestuário,Roupas,159.79,Boleto
248,2023-04-03,Transporte,Estacionamento,27.32,Pix
249,2023-04-04,Lazer,Streaming,277.64,Cartão de débito
250,2023-04-04,Moradia,Energia elétrica,945.7,Cartão de crédito
251,2023-04-04,Vestuário,Acessórios,213.95,Dinheiro
252,2023-04-04,Alimentação,Restaurante,127.51,Cartão de débito
253,2023-04-05,Alimentação,Feira,197.14,Cartão de débito
254,2023-04-05,Saúde,Consulta médica,831.79,Cartão de débito
255,2023-04-06,Serviços,Assinatura de app,427.37,Dinheiro
256,2023-04-06,Educação,Material escolar,425.3,Cartão de crédito
257,2023-04-06,Moradia,Água,879.6,Cartão de crédito
258,2023-04-06,Alimentação,Restaurante,153.35,Cartão de crédito
259,2023-04-06,Alimentação,Delivery,26.77,Pix
260,2023-04-06,Alimentação,Restaurante,188.15,Dinheiro
261,2023-04-07,Moradia,Energia elétrica,439.8,Cartão de débito
262,2023-04-08,Serviços,Salão de beleza,447.34,Cartão de débito
263,2023-04-08,Saúde,Dentista,272.82,Dinheiro
264,2023-04-09,Saúde,Dentista,223.8,Boleto
265,2023-04-09,Transporte,Combustível,87.93,Cartão de crédito
266,2023-04-10,Alimentação,Lanchonete,50.02,Cartão de crédito
267,2023-04-10,Moradia,Gás,1531.09,Dinheiro
268,2023-04-10,Vestuário,Calçados,98.71,Cartão de crédito
269,2023-04-10,Moradia,Água,2182.92,Pix
270,2023-04-11,Alimentação,Lanchonete,134.02,Pix
271,2023-04-11,Moradia,Condomínio,619.58,Cartão de crédito
272,2023-04-11,Alimentação,Feira,102.27,Cartão de crédito
273,2023-04-12,Outros,Diversos,98.16,Cartão de crédito
274,2023-04-12,Lazer,Viagem,268.25,Cartão de crédito
275,2023-04-12,Transporte,Ônibus,77.24,Pix
276,2023-04-12,Serviços,Lavanderia,101.96,Cartão de débito
277,2023-04-12,Lazer,Cinema,53.53,Boleto
278,2023-04-13,Moradia,Aluguel,1600.8,Cartão de débito
279,2023-04-13,Transporte,Manutenção do veículo,47.2,Cartão de crédito
280,2023-04-13,Lazer,Bar,260.25,Dinheiro
281,2023-04-13,Alimentação,Feira,193.46,Cartão de débito
282,2023-04-14,Saúde,Dentista,470.31,Cartão de crédito
283,2023-04-14,Alimentação,Feira,153.88,Cartão de crédito
284,2023-04-14,Moradia,Aluguel,126.55,Dinheiro
285,2023-04-15,Alimentação,Lanchonete,34.83,Boleto
286,2023-04-15,Vestuário,Calçados,239.39,Pix
287,2023-04-15,Alimentação,Lanchonete,90.35,Cartão de débito
288,2023-04-15,Alimentação,Lanchonete,219.88,Boleto
289,2023-04-15,Educação,Material escolar,548.92,Dinheiro
290,2023-04-16,Vestuário,Acessórios,356.58,Cartão de crédito
291,2023-04-16,Alimentação,Delivery,29.43,Pix
292,2023-04-16,Saúde,Exames,109.62,Cartão de débito
293,2023-04-17,Alimentação,Feira,216.54,Dinheiro
294,2023-04-17,Alimentação,Delivery,184.89,Dinheiro
295,2023-04-17,Transporte,Pedágio,32.17,Dinheiro
296,2023-04-17,Alimentação,Feira,18.37,Cartão de crédito
297,2023-04-18,Transporte,Ônibus,106.91,Dinheiro
298,2023-04-18,Vestuário,Acessórios,78.17,Pix
299,2023-04-19,Moradia,Água,847.84,Cartão de débito
300,2023-04-19,Saúde,Plano de saúde,108.32,Boleto
301,2023-04-19,Moradia,Condomínio,1597.42,Pix
302,2023-04-19,Lazer,Jogos,224.88,Pix
303,2023-04-20,Lazer,Jogos,81.75,Boleto
304,2023-04-20,Transporte,Manutenção do veículo,105.09,Pix
305,2023-04-20,Saúde,Plano de saúde,440.11,Cartão de crédito
306,2023-04-21,Transporte,Combustível,102.35,Pix
307,2023-04-22,Alimentação,Feira,48.7,Pix
308,2023-04-22,Alimentação,Padaria,122.16,Dinheiro
309,2023-04-22,Moradia,Aluguel,1833.26,Cartão de débito
310,2023-04-22,Educação,Material escolar,746.79,Cartão de débito
311,2023-04-22,Alimentação,Lanchonete,89.35,Cartão de crédito
312,2023-04-23,Saúde,Dentista,429.71,Boleto
313,2023-04-24,Vestuário,Roupas,365.66,Pix
314,2023-04-25,Alimentação,Padaria,17.8,Cartão de débito
315,2023-04-26,Saúde,Dentista,246.01,Pix
316,2023-04-26,Alimentação,Delivery,135.02,Boleto
317,2023-04-26,Saúde,Plano de saúde,816.66,Cartão de débito
318,2023-04-27,Moradia,Condomínio,329.03,Dinheiro
319,2023-04-27,Alimentação,Padaria,53.14,Dinheiro
320,2023-04-27,Transporte,Manutenção do veículo,152.97,Cartão de débito
321,2023-04-27,Moradia,Energia elétrica,2120.1,Dinheiro
322,2023-04-27,Moradia,Energia elétrica,1225.3,Cartão de crédito
323,2023-04-28,Lazer,Show,64.95,Cartão de crédito
324,2023-04-28,Alimentação,Padaria,142.7,Cartão de crédito
325,2023-04-28,Alimentação,Delivery,105.28,Boleto
326,2023-04-28,Serviços,Assinatura de app,497.24,Dinheiro
327,2023-04-28,Alimentação,Supermercado,111.26,Pix
328,2023-04-29,Serviços,Assinatura de app,376.36,Pix
329,2023-04-29,Outros,Presente,107.0,Boleto
330,2023-04-29,Alimentação,Delivery,206.13,Boleto
331,2023-04-29,Alimentação,Feira,110.12,Pix
332,2023-04-30,Lazer,Viagem,233.66,Cartão de crédito
333,2023-04-30,Alimentação,Padaria,157.15,Dinheiro
334,2023-04-30,Transporte,Aplicativo de transporte,71.97,Cartão de débito
335,2023-04-30,Vestuário,Calçados,390.13,Pix
336,2023-04-30,Transporte,Estacionamento,176.24,Pix
337,2023-04-30,Alimentação,Feira,149.44,Dinheiro
338,2023-05-01,Lazer,Streaming,245.07,Boleto
339,2023-05-01,Saúde,Consulta médica,334.4,Pix
340,2023-05-01,Transporte,Ônibus,89.55,Cartão de débito
341,2023-05-02,Transporte,Ônibus,40.55,Pix
342,2023-05-02,Educação,Mensalidade curso,411.84,Pix
343,2023-05-02,Alimentação,Restaurante,204.45,Cartão de débito
344,2023-05-02,Moradia,Gás,1246.26,Cartão de débito
345,2023-05-03,Alimentação,Supermercado,43.13,Cartão de débito
346,2023-05-03,Serviços,Manutenção doméstica,203.2,Dinheiro
347,2023-05-04,Lazer,Jogos,111.24,Boleto
348,2023-05-04,Transporte,Ônibus,23.53,Cartão de débito
349,2023-05-04,Alimentação,Delivery,213.51,Cartão de débito
350,2023-05-05,Alimentação,Restaurante,144.15,Cartão de débito
351,2023-05-05,Alimentação,Padaria,101.06,Dinheiro
352,2023-05-05,Saúde,Exames,473.13,Pix
353,2023-05-05,Outros,Imprevisto,181.52,Dinheiro
354,2023-05-05,Serviços,Lavanderia,214.19,Cartão de débito
355,2023-05-06,Alimentação,Restaurante,30.18,Dinheiro
356,2023-05-06,Transporte,Combustível,48.39,Cartão de crédito
357,2023-05-06,Saúde,Farmácia,80.74,Dinheiro
358,2023-05-07,Lazer,Jogos,152.4,Boleto
359,2023-05-07,Alimentação,Delivery,159.78,Pix
360,2023-05-07,Moradia,Água,1181.82,Pix
361,2023-05-07,Transporte,Ônibus,40.65,Cartão de débito
362,2023-05-08,Transporte,Ônibus,138.55,Dinheiro
363,2023-05-08,Serviços,Lavanderia,95.83,Cartão de crédito
364,2023-05-08,Educação,Plataforma online,852.34,Cartão de débito
365,2023-05-08,Alimentação,Supermercado,27.44,Dinheiro
366,2023-05-08,Transporte,Aplicativo de transporte,134.13,Boleto
367,2023-05-10,Moradia,Condomínio,322.51,Dinheiro
368,2023-05-10,Transporte,Manutenção do veículo,115.79,Pix
369,2023-05-10,Alimentação,Lanchonete,174.6,Pix
370,2023-05-10,Moradia,Condomínio,863.7,Boleto
371,2023-05-10,Educação,Plataforma online,273.22,Dinheiro
372,2023-05-11,Alimentação,Feira,151.31,Cartão de débito
373,2023-05-11,Lazer,Cinema,82.92,Cartão de crédito
374,2023-05-11,Alimentação,Delivery,15.37,Boleto
375,2023-05-11,Serviços,Salão de beleza,49.96,Cartão de crédito
376,2023-05-11,Transporte,Pedágio,81.27,Pix
377,2023-05-12,Educação,Livros,901.63,Pix
378,2023-05-12,Educação,Material escolar,253.42,Boleto
379,2023-05-12,Lazer,Bar,53.87,Cartão de débito
380,2023-05-13,Alimentação,Delivery,24.98,Pix
381,2023-05-13,Outros,Presente,133.16,Cartão de débito
382,2023-05-13,Saúde,Farmácia,419.56,Dinheiro
383,2023-05-14,Educação,Plataforma online,278.38,Boleto
384,2023-05-14,Saúde,Plano de saúde,425.4,Cartão de crédito
385,2023-05-14,Alimentação,Supermercado,200.17,Cartão de crédito
386,2023-05-15,Saúde,Farmácia,165.75,Pix
387,2023-05-15,Alimentação,Delivery,179.48,Dinheiro
388,2023-05-15,Transporte,Ônibus,21.82,Boleto
389,2023-05-15,Transporte,Combustível,143.47,Pix
390,2023-05-16,Moradia,Água,1858.62,Pix
391,2023-05-16,Lazer,Streaming,32.89,Cartão de crédito
392,2023-05-16,Moradia,Gás,970.68,Cartão de crédito
393,2023-05-16,Outros,Doação,144.29,Pix
394,2023-05-17,Vestuário,Acessórios,290.36,Boleto
395,2023-05-17,Alimentação,Delivery,126.93,Cartão de débito
396,2023-05-17,Educação,Mensalidade curso,398.86,Dinheiro
397,2023-05-17,Alimentação,Delivery,138.52,Boleto
398,2023-05-17,Transporte,Pedágio,143.36,Cartão de débito
399,2023-05-17,Moradia,Energia elétrica,1376.34,Cartão de crédito
400,2023-05-18,Moradia,Água,1162.07,Pix
401,2023-05-18,Transporte,Pedágio,11.91,Dinheiro
402,2023-05-18,Alimentação,Restaurante,147.92,Dinheiro
403,2023-05-19,Alimentação,Feira,174.12,Cartão de crédito
404,2023-05-19,Moradia,Água,499.99,Boleto
405,2023-05-19,Moradia,Aluguel,765.74,Cartão de débito
406,2023-05-20,Transporte,Pedágio,110.56,Cartão de débito
407,2023-05-20,Alimentação,Padaria,93.71,Boleto
408,2023-05-20,Transporte,Combustível,87.11,Dinheiro
409,2023-05-21,Alimentação,Restaurante,166.88,Cartão de débito
410,2023-05-22,Alimentação,Restaurante,93.52,Cartão de débito
411,2023-05-22,Serviços,Manutenção doméstica,214.57,Dinheiro
412,2023-05-22,Vestuário,Calçados,191.23,Dinheiro
413,2023-05-23,Lazer,Bar,221.39,Cartão de crédito
414,2023-05-23,Educação,Livros,260.24,Dinheiro
415,2023-05-23,Educação,Mensalidade curso,146.36,Dinheiro
416,2023-05-23,Vestuário,Roupas,263.19,Cartão de débito
417,2023-05-24,Moradia,Aluguel,2063.95,Pix
418,2023-05-24,Lazer,Viagem,194.82,Pix
419,2023-05-24,Vestuário,Calçados,319.58,Cartão de crédito
420,2023-05-24,Serviços,Salão de beleza,114.29,Cartão de crédito
421,2023-05-24,Alimentação,Padaria,20.2,Cartão de débito
422,2023-05-24,Transporte,Manutenção do veículo,104.92,Cartão de crédito
423,2023-05-24,Lazer,Viagem,319.64,Cartão de débito
424,2023-05-26,Alimentação,Lanchonete,49.01,Boleto
425,2023-05-26,Saúde,Exames,180.29,Boleto
426,2023-05-26,Moradia,Aluguel,1449.74,Boleto
427,2023-05-27,Vestuário,Calçados,294.45,Cartão de crédito
428,2023-05-27,Outros,Imprevisto,135.1,Pix
429,2023-05-27,Lazer,Bar,44.97,Cartão de débito
430,2023-05-27,Moradia,Aluguel,1553.48,Cartão de débito
431,2023-05-27,Alimentação,Supermercado,135.87,Pix
432,2023-05-27,Transporte,Combustível,133.7,Pix
433,2023-05-27,Outros,Presente,153.91,Cartão de crédito
434,2023-05-29,Educação,Livros,554.01,Pix
435,2023-05-29,Transporte,Pedágio,177.61,Pix
436,2023-05-30,Transporte,Pedágio,77.11,Cartão de débito
437,2023-05-30,Alimentação,Feira,73.81,Cartão de débito
438,2023-05-30,Transporte,Pedágio,55.34,Cartão de crédito
439,2023-05-30,Lazer,Jogos,267.69,Dinheiro
440,2023-05-30,Moradia,Condomínio,2039.33,Cartão de débito
441,2023-05-30,Lazer,Bar,233.88,Cartão de crédito
442,2023-05-30,Lazer,Jogos,273.98,Cartão de crédito
443,2023-05-30,Moradia,Aluguel,1386.91,Cartão de crédito
444,2023-05-31,Alimentação,Restaurante,170.22,Cartão de débito
445,2023-05-31,Transporte,Pedágio,55.2,Dinheiro
446,2023-06-01,Alimentação,Restaurante,86.55,Cartão de crédito
447,2023-06-01,Transporte,Aplicativo de transporte,84.79,Boleto
448,2023-06-01,Lazer,Viagem,145.43,Pix
449,2023-06-02,Moradia,Energia elétrica,1106.8,Boleto
450,2023-06-02,Vestuário,Acessórios,247.75,Cartão de crédito
451,2023-06-02,Transporte,Estacionamento,10.46,Boleto
452,2023-06-02,Lazer,Viagem,310.42,Dinheiro
